Name, Area, Mean, Minimum, Maximum, SDev
0000.tif, 262144, 0.01352, 0, 1, 0.1155
0001.tif, 262144, 0.01297, 0, 1, 0.1131
0002.tif, 262144, 0.01553, 0, 1, 0.1236
0003.tif, 262144, 0.0147, 0, 1, 0.1203
0004.tif, 262144, 0.01175, 0, 1, 0.1078
0005.tif, 262144, 0.01321, 0, 1, 0.1142
0006.tif, 262144, 0.01286, 0, 1, 0.1127
0007.tif, 262144, 0.0124, 0, 1, 0.1107
0008.tif, 262144, 0.0134, 0, 1, 0.115
0009.tif, 262144, 0.01531, 0, 1, 0.1228
0010.tif, 262144, 0.01628, 0, 1, 0.1266
0011.tif, 262144, 0.01483, 0, 1, 0.1209
0012.tif, 262144, 0.01697, 0, 1, 0.1292
0013.tif, 262144, 0.0157, 0, 1, 0.1243
0014.tif, 262144, 0.01648, 0, 1, 0.1273
0015.tif, 262144, 0.01608, 0, 1, 0.1258
0016.tif, 262144, 0.01388, 0, 1, 0.117
0017.tif, 262144, 0.00787, 0, 1, 0.08836
0018.tif, 262144, 0.008358, 0, 1, 0.09104
0019.tif, 262144, 0.008274, 0, 1, 0.09059
0020.tif, 262144, 0.007774, 0, 1, 0.08783
0021.tif, 262144, 0.009251, 0, 1, 0.09573
0022.tif, 262144, 0.008579, 0, 1, 0.09223
0023.tif, 262144, 0.008541, 0, 1, 0.09202
0024.tif, 262144, 0.009071, 0, 1, 0.09481
0025.tif, 262144, 0.007565, 0, 1, 0.08664
0026.tif, 262144, 0.007874, 0, 1, 0.08838
0027.tif, 262144, 0.009857, 0, 1, 0.09879
0028.tif, 262144, 0.007679, 0, 1, 0.08729
0029.tif, 262144, 0.008102, 0, 1, 0.08965
0030.tif, 262144, 0.008892, 0, 1, 0.09388
0031.tif, 262144, 0.008698, 0, 1, 0.09285
0032.tif, 262144, 0.006374, 0, 1, 0.07958
0033.tif, 262144, 0.01189, 0, 1, 0.1084
0034.tif, 262144, 0.01345, 0, 1, 0.1152
0035.tif, 262144, 0.01327, 0, 1, 0.1144
0036.tif, 262144, 0.01158, 0, 1, 0.107
0037.tif, 262144, 0.01131, 0, 1, 0.1057
0038.tif, 262144, 0.01226, 0, 1, 0.11
0039.tif, 262144, 0.01255, 0, 1, 0.1113
0040.tif, 262144, 0.009995, 0, 1, 0.09947
0041.tif, 262144, 0.01159, 0, 1, 0.107
0042.tif, 262144, 0.01137, 0, 1, 0.106
0043.tif, 262144, 0.01213, 0, 1, 0.1095
0044.tif, 262144, 0.01111, 0, 1, 0.1048
0045.tif, 262144, 0.01031, 0, 1, 0.101
0046.tif, 262144, 0.01118, 0, 1, 0.1052
0047.tif, 262144, 0.01162, 0, 1, 0.1072
0048.tif, 262144, 0.01345, 0, 1, 0.1152
0049.tif, 262144, 0.01239, 0, 1, 0.1106
0050.tif, 262144, 0.006046, 0, 1, 0.07752
0051.tif, 262144, 0.006187, 0, 1, 0.07842
0052.tif, 262144, 0.009056, 0, 1, 0.09473
0053.tif, 262144, 0.007332, 0, 1, 0.08531
0054.tif, 262144, 0.006653, 0, 1, 0.08129
0055.tif, 262144, 0.007263, 0, 1, 0.08491
0056.tif, 262144, 0.008606, 0, 1, 0.09237
0057.tif, 262144, 0.008751, 0, 1, 0.09314
0058.tif, 262144, 0.006657, 0, 1, 0.08132
0059.tif, 262144, 0.009003, 0, 1, 0.09445
0060.tif, 262144, 0.008556, 0, 1, 0.0921
0061.tif, 262144, 0.008945, 0, 1, 0.09416
0062.tif, 262144, 0.007668, 0, 1, 0.08723
0063.tif, 262144, 0.008282, 0, 1, 0.09063
0064.tif, 262144, 0.00872, 0, 1, 0.09298
0065.tif, 262144, 0.008392, 0, 1, 0.09122
