Name, Area, Mean, Minimum, Maximum, SDev
0000.png, 262144, 0.07835, 0, 1, 0.2687
0001.png, 262144, 0.06686, 0, 1, 0.2498
0002.png, 262144, 0.09059, 0, 1, 0.287
0003.png, 262144, 0.0853, 0, 1, 0.2793
0004.png, 262144, 0.06283, 0, 1, 0.2427
0005.png, 262144, 0.0704, 0, 1, 0.2558
0006.png, 262144, 0.07105, 0, 1, 0.2569
0007.png, 262144, 0.06993, 0, 1, 0.255
0008.png, 262144, 0.07625, 0, 1, 0.2654
0009.png, 262144, 0.08934, 0, 1, 0.2852
0010.png, 262144, 0.09577, 0, 1, 0.2943
0011.png, 262144, 0.08655, 0, 1, 0.2812
0012.png, 262144, 0.09793, 0, 1, 0.2972
0013.png, 262144, 0.09129, 0, 1, 0.288
0014.png, 262144, 0.09328, 0, 1, 0.2908
0015.png, 262144, 0.09547, 0, 1, 0.2939
0016.png, 262144, 0.081, 0, 1, 0.2728
0017.png, 262144, 0.04239, 0, 1, 0.2015
0018.png, 262144, 0.04443, 0, 1, 0.206
0019.png, 262144, 0.04066, 0, 1, 0.1975
0020.png, 262144, 0.03837, 0, 1, 0.1921
0021.png, 262144, 0.04667, 0, 1, 0.2109
0022.png, 262144, 0.04675, 0, 1, 0.2111
0023.png, 262144, 0.04302, 0, 1, 0.2029
0024.png, 262144, 0.04504, 0, 1, 0.2074
0025.png, 262144, 0.03623, 0, 1, 0.1869
0026.png, 262144, 0.04165, 0, 1, 0.1998
0027.png, 262144, 0.06194, 0, 1, 0.241
0028.png, 262144, 0.04483, 0, 1, 0.2069
0029.png, 262144, 0.04265, 0, 1, 0.2021
0030.png, 262144, 0.04829, 0, 1, 0.2144
0031.png, 262144, 0.03896, 0, 1, 0.1935
0032.png, 262144, 0.0315, 0, 1, 0.1747
0033.png, 262144, 0.0841, 0, 1, 0.2775
0034.png, 262144, 0.09449, 0, 1, 0.2925
0035.png, 262144, 0.09772, 0, 1, 0.2969
0036.png, 262144, 0.0786, 0, 1, 0.2691
0037.png, 262144, 0.0742, 0, 1, 0.2621
0038.png, 262144, 0.08509, 0, 1, 0.279
0039.png, 262144, 0.08992, 0, 1, 0.2861
0040.png, 262144, 0.05462, 0, 1, 0.2272
0041.png, 262144, 0.08056, 0, 1, 0.2722
0042.png, 262144, 0.07505, 0, 1, 0.2635
0043.png, 262144, 0.09209, 0, 1, 0.2892
0044.png, 262144, 0.08143, 0, 1, 0.2735
0045.png, 262144, 0.0635, 0, 1, 0.2439
0046.png, 262144, 0.07374, 0, 1, 0.2614
0047.png, 262144, 0.08868, 0, 1, 0.2843
0048.png, 262144, 0.09959, 0, 1, 0.2995
0049.png, 262144, 0.09216, 0, 1, 0.2893
0050.png, 262144, 0.02575, 0, 1, 0.1584
0051.png, 262144, 0.02793, 0, 1, 0.1648
0052.png, 262144, 0.04522, 0, 1, 0.2078
0053.png, 262144, 0.0399, 0, 1, 0.1957
0054.png, 262144, 0.03233, 0, 1, 0.1769
0055.png, 262144, 0.03574, 0, 1, 0.1856
0056.png, 262144, 0.04292, 0, 1, 0.2027
0057.png, 262144, 0.04966, 0, 1, 0.2172
0058.png, 262144, 0.03204, 0, 1, 0.1761
0059.png, 262144, 0.04308, 0, 1, 0.203
0060.png, 262144, 0.044, 0, 1, 0.2051
0061.png, 262144, 0.03758, 0, 1, 0.1902
0062.png, 262144, 0.03328, 0, 1, 0.1794
0063.png, 262144, 0.03305, 0, 1, 0.1788
0064.png, 262144, 0.03899, 0, 1, 0.1936
0065.png, 262144, 0.04799, 0, 1, 0.2138
