Name, Area, Mean, Minimum, Maximum, SDev
0000.png, 262144, 83.9576, 32, 185, 8.2697
0001.png, 262144, 84.306, 29, 185, 8.9242
0002.png, 262144, 84.0716, 28, 185, 8.6237
0003.png, 262144, 83.8967, 29, 184, 8.6188
0004.png, 262144, 83.6595, 30, 184, 8.5899
0005.png, 262144, 83.4838, 30, 183, 8.7454
0006.png, 262144, 84.4682, 34, 185, 8.2464
0007.png, 262144, 84.1313, 33, 184, 7.9083
0008.png, 262144, 84.357, 28, 183, 8.2263
0009.png, 262144, 83.223, 31, 182, 8.7154
0010.png, 262144, 80.9625, 26, 184, 8.5936
0011.png, 262144, 83.9339, 31, 185, 9.0628
0012.png, 262144, 83.7847, 28, 185, 9.1714
0013.png, 262144, 83.9621, 31, 185, 9.1437
0014.png, 262144, 83.3706, 26, 185, 8.7331
0015.png, 262144, 83.7306, 29, 184, 8.9357
0016.png, 262144, 83.4197, 26, 185, 9.2506
0017.png, 262144, 81.894, 30, 184, 5.9648
0018.png, 262144, 81.5974, 26, 183, 6.1866
0019.png, 262144, 81.5945, 27, 183, 6.0734
0020.png, 262144, 82.235, 29, 183, 6.1742
0021.png, 262144, 83.0816, 28, 183, 7.135
0022.png, 262144, 81.517, 29, 184, 7.1726
0023.png, 262144, 81.6545, 27, 183, 7.1524
0024.png, 262144, 82.1223, 29, 184, 7.5109
0025.png, 262144, 81.9308, 34, 184, 7.0636
0026.png, 262144, 82.0932, 32, 184, 7.3259
0027.png, 262144, 81.5127, 31, 185, 6.939
0028.png, 262144, 81.618, 32, 185, 6.9589
0029.png, 262144, 81.4824, 29, 185, 7.1055
0030.png, 262144, 81.4179, 29, 185, 6.6979
0031.png, 262144, 82.6289, 33, 185, 9.3729
0032.png, 262144, 81.325, 31, 185, 6.5932
0033.png, 262144, 82.8639, 29, 185, 8.7248
0034.png, 262144, 82.2915, 27, 185, 8.6804
0035.png, 262144, 82.9418, 26, 184, 8.8659
0036.png, 262144, 83.2605, 28, 184, 8.932
0037.png, 262144, 82.8947, 28, 184, 8.9334
0038.png, 262144, 82.9728, 29, 184, 8.9488
0039.png, 262144, 82.6815, 30, 185, 8.6837
0040.png, 262144, 81.9896, 29, 184, 8.6997
0041.png, 262144, 83.5992, 29, 183, 8.2661
0042.png, 262144, 81.9092, 30, 183, 8.8866
0043.png, 262144, 81.6058, 27, 185, 8.3876
0044.png, 262144, 82.361, 27, 185, 9.1444
0045.png, 262144, 82.6597, 29, 185, 9.3668
0046.png, 262144, 82.8349, 27, 185, 8.8589
0047.png, 262144, 82.3181, 25, 185, 8.4199
0048.png, 262144, 82.56, 28, 184, 8.4751
0049.png, 262144, 81.9052, 28, 184, 8.9049
0050.png, 262144, 82.6554, 31, 185, 7.4633
0051.png, 262144, 82.6381, 27, 183, 7.1979
0052.png, 262144, 81.9256, 29, 183, 6.5936
0053.png, 262144, 82.0554, 29, 183, 6.7435
0054.png, 262144, 81.967, 30, 184, 7.2392
0055.png, 262144, 83.2269, 27, 183, 6.941
0056.png, 262144, 82.21, 30, 183, 7.1172
0057.png, 262144, 83.0668, 33, 183, 6.751
0058.png, 262144, 81.618, 34, 182, 6.9647
0059.png, 262144, 81.4133, 27, 183, 7.3664
0060.png, 262144, 81.9569, 34, 185, 7.1327
0061.png, 262144, 82.2034, 36, 185, 7.5388
0062.png, 262144, 82.0417, 34, 185, 7.4366
0063.png, 262144, 82.1249, 34, 185, 7.7629
0064.png, 262144, 83.0057, 34, 185, 9.8326
0065.png, 262144, 82.1214, 31, 186, 8.6544
