Name, Area, Mean, Minimum, Maximum, SDev
0000.tif, 262144, 0.03513, 0, 1, 0.1841
0001.tif, 262144, 0.03693, 0, 1, 0.1886
0002.tif, 262144, 0.03682, 0, 1, 0.1883
0003.tif, 262144, 0.0352, 0, 1, 0.1843
0004.tif, 262144, 0.03348, 0, 1, 0.1799
0005.tif, 262144, 0.03432, 0, 1, 0.1821
0006.tif, 262144, 0.03862, 0, 1, 0.1927
0007.tif, 262144, 0.03747, 0, 1, 0.1899
0008.tif, 262144, 0.03738, 0, 1, 0.1897
0009.tif, 262144, 0.03724, 0, 1, 0.1893
0010.tif, 262144, 0.03946, 0, 1, 0.1947
0011.tif, 262144, 0.03749, 0, 1, 0.19
0012.tif, 262144, 0.03928, 0, 1, 0.1943
0013.tif, 262144, 0.04099, 0, 1, 0.1983
0014.tif, 262144, 0.04088, 0, 1, 0.198
0015.tif, 262144, 0.04076, 0, 1, 0.1977
0016.tif, 262144, 0.04199, 0, 1, 0.2006
0017.tif, 262144, 0.04184, 0, 1, 0.2002
0018.tif, 262144, 0.04929, 0, 1, 0.2165
0019.tif, 262144, 0.04498, 0, 1, 0.2073
0020.tif, 262144, 0.05002, 0, 1, 0.218
0021.tif, 262144, 0.04678, 0, 1, 0.2112
0022.tif, 262144, 0.04718, 0, 1, 0.212
0023.tif, 262144, 0.04937, 0, 1, 0.2166
0024.tif, 262144, 0.04807, 0, 1, 0.2139
0025.tif, 262144, 0.04733, 0, 1, 0.2123
0026.tif, 262144, 0.04875, 0, 1, 0.2153
0027.tif, 262144, 0.04698, 0, 1, 0.2116
0028.tif, 262144, 0.05082, 0, 1, 0.2196
0029.tif, 262144, 0.04403, 0, 1, 0.2052
0030.tif, 262144, 0.05185, 0, 1, 0.2217
0031.tif, 262144, 0.05128, 0, 1, 0.2206
0032.tif, 262144, 0.0522, 0, 1, 0.2224
0033.tif, 262144, 0.04931, 0, 1, 0.2165
0034.tif, 262144, 0.06123, 0, 1, 0.2398
0035.tif, 262144, 0.05735, 0, 1, 0.2325
0036.tif, 262144, 0.05156, 0, 1, 0.2211
0037.tif, 262144, 0.03266, 0, 1, 0.1777
0038.tif, 262144, 0.03026, 0, 1, 0.1713
0039.tif, 262144, 0.03284, 0, 1, 0.1782
0040.tif, 262144, 0.03398, 0, 1, 0.1812
0041.tif, 262144, 0.03329, 0, 1, 0.1794
0042.tif, 262144, 0.0344, 0, 1, 0.1822
0043.tif, 262144, 0.02936, 0, 1, 0.1688
0044.tif, 262144, 0.03776, 0, 1, 0.1906
0045.tif, 262144, 0.03578, 0, 1, 0.1857
0046.tif, 262144, 0.03507, 0, 1, 0.184
0047.tif, 262144, 0.04214, 0, 1, 0.2009
0048.tif, 262144, 0.03788, 0, 1, 0.1909
0049.tif, 262144, 0.03922, 0, 1, 0.1941
0050.tif, 262144, 0.04022, 0, 1, 0.1965
0051.tif, 262144, 0.04003, 0, 1, 0.196
0052.tif, 262144, 0.04039, 0, 1, 0.1969
0053.tif, 262144, 0.0428, 0, 1, 0.2024
0054.tif, 262144, 0.04596, 0, 1, 0.2094
0055.tif, 262144, 0.04496, 0, 1, 0.2072
0056.tif, 262144, 0.04078, 0, 1, 0.1978
0057.tif, 262144, 0.04653, 0, 1, 0.2106
0058.tif, 262144, 0.0449, 0, 1, 0.2071
0059.tif, 262144, 0.045, 0, 1, 0.2073
0060.tif, 262144, 0.04966, 0, 1, 0.2172
0061.tif, 262144, 0.05053, 0, 1, 0.219
0062.tif, 262144, 0.05126, 0, 1, 0.2205
0063.tif, 262144, 0.04897, 0, 1, 0.2158
0064.tif, 262144, 0.05029, 0, 1, 0.2185
0065.tif, 262144, 0.05096, 0, 1, 0.2199
0066.tif, 262144, 0.04821, 0, 1, 0.2142
0067.tif, 262144, 0.04611, 0, 1, 0.2097
0068.tif, 262144, 0.04561, 0, 1, 0.2086
0069.tif, 262144, 0.05107, 0, 1, 0.2202
0070.tif, 262144, 0.0552, 0, 1, 0.2284
0071.tif, 262144, 0.05262, 0, 1, 0.2233
