Name, Area, Mean, Minimum, Maximum, SDev
0000.png, 262144, 0.3791, 0, 1, 0.4852
0001.png, 262144, 0.3807, 0, 1, 0.4856
0002.png, 262144, 0.4002, 0, 1, 0.4899
0003.png, 262144, 0.3933, 0, 1, 0.4885
0004.png, 262144, 0.3793, 0, 1, 0.4852
0005.png, 262144, 0.3718, 0, 1, 0.4833
0006.png, 262144, 0.376, 0, 1, 0.4844
0007.png, 262144, 0.3835, 0, 1, 0.4862
0008.png, 262144, 0.3906, 0, 1, 0.4879
0009.png, 262144, 0.398, 0, 1, 0.4895
0010.png, 262144, 0.4083, 0, 1, 0.4915
0011.png, 262144, 0.4244, 0, 1, 0.4942
0012.png, 262144, 0.4262, 0, 1, 0.4945
0013.png, 262144, 0.4514, 0, 1, 0.4976
0014.png, 262144, 0.4503, 0, 1, 0.4975
0015.png, 262144, 0.4479, 0, 1, 0.4973
0016.png, 262144, 0.4152, 0, 1, 0.4928
0017.png, 262144, 0.4152, 0, 1, 0.4928
0018.png, 262144, 0.4925, 0, 1, 0.4999
0019.png, 262144, 0.4787, 0, 1, 0.4995
0020.png, 262144, 0.5033, 0, 1, 0.5
0021.png, 262144, 0.5177, 0, 1, 0.4997
0022.png, 262144, 0.517, 0, 1, 0.4997
0023.png, 262144, 0.515, 0, 1, 0.4998
0024.png, 262144, 0.5433, 0, 1, 0.4981
0025.png, 262144, 0.5336, 0, 1, 0.4989
0026.png, 262144, 0.527, 0, 1, 0.4993
0027.png, 262144, 0.5398, 0, 1, 0.4984
0028.png, 262144, 0.5166, 0, 1, 0.4997
0029.png, 262144, 0.4808, 0, 1, 0.4996
0030.png, 262144, 0.5093, 0, 1, 0.4999
0031.png, 262144, 0.492, 0, 1, 0.4999
0032.png, 262144, 0.5272, 0, 1, 0.4993
0033.png, 262144, 0.5612, 0, 1, 0.4962
0034.png, 262144, 0.6149, 0, 1, 0.4866
0035.png, 262144, 0.5787, 0, 1, 0.4938
0036.png, 262144, 0.6221, 0, 1, 0.4849
0037.png, 262144, 0.4171, 0, 1, 0.4931
0038.png, 262144, 0.4328, 0, 1, 0.4955
0039.png, 262144, 0.4099, 0, 1, 0.4918
0040.png, 262144, 0.4387, 0, 1, 0.4962
0041.png, 262144, 0.4526, 0, 1, 0.4977
0042.png, 262144, 0.4663, 0, 1, 0.4989
0043.png, 262144, 0.4753, 0, 1, 0.4994
0044.png, 262144, 0.4522, 0, 1, 0.4977
0045.png, 262144, 0.473, 0, 1, 0.4993
0046.png, 262144, 0.4855, 0, 1, 0.4998
0047.png, 262144, 0.5084, 0, 1, 0.4999
0048.png, 262144, 0.5363, 0, 1, 0.4987
0049.png, 262144, 0.5252, 0, 1, 0.4994
0050.png, 262144, 0.5354, 0, 1, 0.4987
0051.png, 262144, 0.5333, 0, 1, 0.4989
0052.png, 262144, 0.5054, 0, 1, 0.5
0053.png, 262144, 0.5655, 0, 1, 0.4957
0054.png, 262144, 0.583, 0, 1, 0.4931
0055.png, 262144, 0.5842, 0, 1, 0.4929
0056.png, 262144, 0.6, 0, 1, 0.4899
0057.png, 262144, 0.5993, 0, 1, 0.49
0058.png, 262144, 0.6163, 0, 1, 0.4863
0059.png, 262144, 0.6232, 0, 1, 0.4846
0060.png, 262144, 0.6158, 0, 1, 0.4864
0061.png, 262144, 0.6418, 0, 1, 0.4795
0062.png, 262144, 0.6117, 0, 1, 0.4874
0063.png, 262144, 0.6041, 0, 1, 0.489
0064.png, 262144, 0.6232, 0, 1, 0.4846
0065.png, 262144, 0.6211, 0, 1, 0.4851
0066.png, 262144, 0.593, 0, 1, 0.4913
0067.png, 262144, 0.5947, 0, 1, 0.4909
0068.png, 262144, 0.5521, 0, 1, 0.4973
0069.png, 262144, 0.6106, 0, 1, 0.4876
0070.png, 262144, 0.6425, 0, 1, 0.4793
0071.png, 262144, 0.6728, 0, 1, 0.4692
