Name, Area, Mean, Minimum, Maximum, SDev
0000.png, 262144, 117.2946, 37, 250, 10.9357
0001.png, 262144, 118.216, 36, 255, 10.9331
0002.png, 262144, 116.7675, 34, 248, 10.4892
0003.png, 262144, 118.2842, 37, 255, 10.3474
0004.png, 262144, 117.444, 31, 255, 10.1849
0005.png, 262144, 119.4166, 36, 255, 11.0276
0006.png, 262144, 120.558, 40, 255, 10.3374
0007.png, 262144, 120.2475, 35, 255, 10.2349
0008.png, 262144, 119.7989, 37, 255, 10.3506
0009.png, 262144, 119.835, 35, 255, 9.7696
0010.png, 262144, 119.8285, 36, 255, 10.6572
0011.png, 262144, 120.1093, 32, 255, 10.9735
0012.png, 262144, 119.8626, 33, 241, 9.8551
0013.png, 262144, 119.7177, 33, 255, 10.3585
0014.png, 262144, 119.3446, 36, 237, 10.5742
0015.png, 262144, 119.6444, 31, 255, 10.8827
0016.png, 262144, 119.0778, 34, 255, 10.7103
0017.png, 262144, 118.8264, 33, 242, 10.7903
0018.png, 262144, 119.1832, 31, 255, 10.9422
0019.png, 262144, 118.6508, 31, 248, 10.237
0020.png, 262144, 119.009, 32, 255, 10.1675
0021.png, 262144, 118.608, 35, 255, 9.9696
0022.png, 262144, 118.9428, 34, 255, 9.9917
0023.png, 262144, 119.0049, 32, 255, 9.832
0024.png, 262144, 118.9366, 30, 255, 9.8726
0025.png, 262144, 118.9717, 36, 255, 9.9019
0026.png, 262144, 118.5565, 38, 251, 9.8039
0027.png, 262144, 117.9309, 42, 231, 9.7758
0028.png, 262144, 118.5213, 36, 255, 9.8391
0029.png, 262144, 118.3198, 35, 254, 11.443
0030.png, 262144, 118.6314, 33, 255, 12.0521
0031.png, 262144, 119.1636, 34, 255, 12.3182
0032.png, 262144, 118.3772, 33, 242, 11.2877
0033.png, 262144, 118.0139, 38, 255, 11.331
0034.png, 262144, 119.3074, 43, 255, 10.9306
0035.png, 262144, 118.7537, 40, 253, 10.6614
0036.png, 262144, 118.736, 38, 255, 9.54
0037.png, 262144, 128.8372, 49, 255, 9.0086
0038.png, 262144, 116.3783, 32, 248, 9.9916
0039.png, 262144, 116.1858, 34, 255, 9.4521
0040.png, 262144, 116.6599, 38, 213, 9.2934
0041.png, 262144, 119.4022, 34, 255, 9.4132
0042.png, 262144, 119.2477, 28, 245, 9.4897
0043.png, 262144, 119.7069, 35, 233, 9.578
0044.png, 262144, 119.1091, 32, 230, 9.9208
0045.png, 262144, 118.3879, 34, 255, 10.154
0046.png, 262144, 117.8419, 33, 242, 10.1691
0047.png, 262144, 118.1983, 32, 255, 9.3451
0048.png, 262144, 118.7991, 34, 255, 9.0217
0049.png, 262144, 118.7212, 35, 233, 9.3951
0050.png, 262144, 117.2588, 38, 244, 9.0725
0051.png, 262144, 118.2754, 34, 251, 9.4089
0052.png, 262144, 117.8527, 33, 255, 10.0195
0053.png, 262144, 119.2387, 36, 255, 9.8005
0054.png, 262144, 117.6516, 37, 212, 9.4055
0055.png, 262144, 117.7098, 34, 241, 9.6809
0056.png, 262144, 117.9174, 35, 236, 9.4678
0057.png, 262144, 117.8128, 38, 255, 9.4217
0058.png, 262144, 118.1738, 38, 255, 9.6691
0059.png, 262144, 117.1738, 36, 232, 9.5937
0060.png, 262144, 117.1643, 33, 227, 9.3144
0061.png, 262144, 116.9936, 36, 234, 9.3322
0062.png, 262144, 117.6469, 35, 233, 9.6227
0063.png, 262144, 118.6897, 36, 224, 9.9078
0064.png, 262144, 117.4468, 33, 231, 9.6886
0065.png, 262144, 118.3977, 37, 244, 9.5225
0066.png, 262144, 117.7205, 34, 240, 9.4224
0067.png, 262144, 117.4966, 31, 240, 9.6336
0068.png, 262144, 117.9058, 32, 229, 10.723
0069.png, 262144, 117.5051, 32, 240, 9.9798
0070.png, 262144, 118.0376, 35, 239, 9.6637
0071.png, 262144, 117.7855, 32, 241, 9.6531
