Name, Area, Mean, Minimum, Maximum, SDev
0000.tif, 16384, 1.6367, 0, 3, 0.7371
0001.tif, 16384, 1.7739, 0, 2, 0.6102
0002.tif, 16384, 1.5187, 0, 3, 0.7485
0003.tif, 16384, 1.7196, 0, 2, 0.631
0004.tif, 16384, 1.5886, 0, 3, 0.7734
0005.tif, 16384, 1.8116, 0, 3, 0.5432
0006.tif, 16384, 1.8499, 0, 2, 0.4723
0007.tif, 16384, 1.7891, 0, 3, 0.6344
0008.tif, 16384, 1.7205, 0, 3, 0.6347
0009.tif, 16384, 1.7004, 0, 3, 0.8605
0010.tif, 16384, 1.3737, 0, 3, 0.8849
0011.tif, 16384, 1.522, 0, 3, 0.7282
0012.tif, 16384, 1.4778, 0, 3, 0.8227
0013.tif, 16384, 1.6957, 0, 3, 0.6122
0014.tif, 16384, 1.8498, 0, 3, 0.536
0015.tif, 16384, 2.1162, 0, 3, 0.8087
0016.tif, 16384, 1.7346, 0, 3, 0.6473
0017.tif, 16384, 1.753, 0, 3, 0.7846
0018.tif, 16384, 1.6035, 0, 3, 0.8128
0019.tif, 16384, 1.1553, 0, 2, 0.9813
0020.tif, 16384, 1.6714, 0, 2, 0.6013
0021.tif, 16384, 1.6346, 0, 2, 0.7138
0022.tif, 16384, 1.8007, 0, 3, 0.4833
0023.tif, 16384, 1.7289, 0, 2, 0.5683
0024.tif, 16384, 0.8806, 0, 2, 0.9717
0025.tif, 16384, 1.741, 0, 3, 0.6338
0026.tif, 16384, 1.692, 0, 3, 0.7648
0027.tif, 16384, 1.3865, 0, 2, 0.8929
0028.tif, 16384, 1.7407, 0, 2, 0.6066
0029.tif, 16384, 1.7311, 0, 3, 0.5903
0030.tif, 16384, 1.1903, 0, 3, 0.9731
0031.tif, 16384, 1.9351, 0, 2, 0.2989
0032.tif, 16384, 1.9925, 0, 3, 0.6779
0033.tif, 16384, 1.7697, 0, 3, 0.6162
0034.tif, 16384, 1.7776, 0, 3, 0.6094
0035.tif, 16384, 1.7094, 0, 2, 0.5966
0036.tif, 16384, 1.4171, 0, 2, 0.8783
0037.tif, 16384, 1.6981, 0, 3, 0.7121
0038.tif, 16384, 1.679, 0, 3, 0.728
0039.tif, 16384, 1.7394, 0, 3, 0.665
0040.tif, 16384, 1.7646, 0, 3, 0.8584
0041.tif, 16384, 1.3906, 0, 3, 0.8763
0042.tif, 16384, 1.59, 0, 2, 0.7836
0043.tif, 16384, 1.793, 0, 3, 0.7221
0044.tif, 16384, 1.7216, 0, 2, 0.6423
0045.tif, 16384, 1.6915, 0, 2, 0.5896
0046.tif, 16384, 1.5161, 0, 3, 0.8446
0047.tif, 16384, 1.7257, 0, 3, 0.613
0048.tif, 16384, 1.9258, 0, 3, 0.6187
0049.tif, 16384, 1.5235, 0, 2, 0.8037
0050.tif, 16384, 1.7747, 0, 3, 0.7405
0051.tif, 16384, 1.7261, 0, 2, 0.6521
0052.tif, 16384, 2.2802, 0, 3, 0.717
0053.tif, 16384, 1.7286, 0, 2, 0.5965
0054.tif, 16384, 1.5645, 0, 3, 0.7529
0055.tif, 16384, 1.4305, 0, 3, 0.89
0056.tif, 16384, 1.7569, 0, 3, 0.8657
0057.tif, 16384, 1.5314, 0, 2, 0.8077
0058.tif, 16384, 1.6936, 0, 3, 0.7016
0059.tif, 16384, 1.634, 0, 2, 0.7415
0060.tif, 16384, 1.4291, 0, 3, 0.8657
0061.tif, 16384, 1.6902, 0, 3, 0.629
0062.tif, 16384, 1.8192, 0, 3, 0.6392
