Name, Area, Mean, Minimum, Maximum, SDev
0000.tif, 16384, 107.2932, 0, 255, 34.6953
0001.tif, 16384, 114.9465, 0, 194, 28.3455
0002.tif, 16384, 103.3346, 0, 255, 35.2827
0003.tif, 16384, 111.4014, 6, 185, 27.6066
0004.tif, 16384, 104.8088, 0, 255, 33.6848
0005.tif, 16384, 116.7764, 0, 255, 31.2673
0006.tif, 16384, 117.6284, 0, 186, 26.7847
0007.tif, 16384, 116.8028, 0, 255, 38.1717
0008.tif, 16384, 108.195, 3, 255, 27.7342
0009.tif, 16384, 116.4436, 0, 255, 52.8702
0010.tif, 16384, 98.988, 0, 235, 37.9218
0011.tif, 16384, 101.4837, 0, 231, 31.5077
0012.tif, 16384, 104.4438, 0, 255, 38.7695
0013.tif, 16384, 109.4271, 0, 255, 29.2955
0014.tif, 16384, 118.7088, 0, 255, 30.487
0015.tif, 16384, 155.6937, 0, 255, 69.7316
0016.tif, 16384, 114.8456, 0, 255, 35.6916
0017.tif, 16384, 118.22, 3, 255, 48.1395
0018.tif, 16384, 114.2402, 7, 255, 45.469
0019.tif, 16384, 89.9764, 0, 191, 53.3471
0020.tif, 16384, 109.945, 0, 188, 26.7139
0021.tif, 16384, 108.0612, 8, 172, 30.9256
0022.tif, 16384, 116.5912, 0, 198, 25.4596
0023.tif, 16384, 109.7573, 0, 176, 24.8447
0024.tif, 16384, 72.0951, 0, 161, 50.7931
0025.tif, 16384, 113.6555, 0, 255, 33.671
0026.tif, 16384, 121.5426, 0, 255, 47.6333
0027.tif, 16384, 100.713, 0, 181, 43.7171
0028.tif, 16384, 110.4547, 0, 178, 26.8484
0029.tif, 16384, 114.1642, 0, 255, 28.7125
0030.tif, 16384, 92.1254, 0, 255, 51.5268
0031.tif, 16384, 116.3436, 5, 172, 15.6787
0032.tif, 16384, 138.5529, 11, 255, 54.671
0033.tif, 16384, 116.2986, 0, 255, 33.3909
0034.tif, 16384, 115.8129, 0, 255, 32.53
0035.tif, 16384, 107.4113, 0, 211, 27.6863
0036.tif, 16384, 102.1696, 0, 181, 42.7365
0037.tif, 16384, 107.9203, 0, 255, 31.7846
0038.tif, 16384, 109.0615, 0, 255, 33.3453
0039.tif, 16384, 120.8343, 0, 255, 42.7138
0040.tif, 16384, 125.4571, 0, 255, 56.7601
0041.tif, 16384, 97.343, 0, 255, 39.2565
0042.tif, 16384, 105.322, 0, 194, 33.6271
0043.tif, 16384, 123.36, 6, 255, 50.2359
0044.tif, 16384, 115.1981, 12, 178, 30.8023
0045.tif, 16384, 107.8976, 0, 215, 26.7272
0046.tif, 16384, 104.9708, 0, 255, 38.7229
0047.tif, 16384, 113.1831, 0, 255, 30.1643
0048.tif, 16384, 133.0756, 0, 255, 50.7715
0049.tif, 16384, 108.0833, 0, 200, 40.2117
0050.tif, 16384, 123.8617, 0, 255, 50.0498
0051.tif, 16384, 116.0981, 12, 184, 31.6388
0052.tif, 16384, 171.596, 14, 255, 67.2423
0053.tif, 16384, 109.5526, 0, 188, 27.7296
0054.tif, 16384, 107.6533, 3, 246, 32.8905
0055.tif, 16384, 99.8655, 0, 255, 39.3733
0056.tif, 16384, 126.5458, 0, 255, 58.3359
0057.tif, 16384, 103.5624, 0, 183, 35.6655
0058.tif, 16384, 113.4099, 0, 255, 36.7017
0059.tif, 16384, 105.295, 0, 193, 31.2161
0060.tif, 16384, 98.6911, 0, 255, 38.6236
0061.tif, 16384, 108.0698, 0, 220, 28.2467
0062.tif, 16384, 120.9252, 0, 255, 41.6149
0063.tif, 16384, 103.9587, 0, 180, 33.4293
0064.tif, 16384, 112.3843, 0, 244, 31.9301
0065.tif, 16384, 111.4821, 0, 255, 25.7521
0066.tif, 16384, 116.5714, 0, 255, 29.4095
0067.tif, 16384, 114.7599, 0, 180, 27.1609
0068.tif, 16384, 112.7084, 0, 163, 28.4878
0069.tif, 16384, 108.8444, 0, 208, 26.9678
0070.tif, 16384, 113.4594, 0, 181, 27.467
0071.tif, 16384, 117.7433, 0, 255, 37.4283
0072.tif, 16384, 111.511, 0, 255, 28.1448
0073.tif, 16384, 107.4657, 1, 255, 31.7178
0074.tif, 16384, 113.5963, 0, 255, 25.8072
0075.tif, 16384, 129.3323, 0, 255, 40.5617
0076.tif, 16384, 121.31, 0, 255, 48.994
0077.tif, 16384, 120.1631, 0, 255, 37.2522
0078.tif, 16384, 114.6714, 0, 255, 29.9129
0079.tif, 16384, 88.1067, 0, 255, 53.9096
0080.tif, 16384, 105.8984, 0, 255, 32.2418
0081.tif, 16384, 115.5217, 0, 243, 35.9747
0082.tif, 16384, 161.0266, 0, 255, 60.1682
0083.tif, 16384, 110.6151, 0, 246, 29.7054
0084.tif, 16384, 123.4993, 0, 255, 40.3029
0085.tif, 16384, 113.691, 0, 233, 23.8161
0086.tif, 16384, 117.5457, 0, 255, 38.4611
0087.tif, 16384, 112.7225, 0, 255, 34.8257
0088.tif, 16384, 102.1263, 0, 255, 34.279
0089.tif, 16384, 127.5536, 0, 255, 54.5405
0090.tif, 16384, 110.483, 0, 255, 37.9566
0091.tif, 16384, 99.6999, 0, 255, 37.0799
0092.tif, 16384, 139.6201, 4, 255, 53.649
0093.tif, 16384, 113.712, 0, 181, 28.0352
0094.tif, 16384, 107.6251, 0, 212, 32.766
0095.tif, 16384, 118.8506, 0, 255, 52.8809
0096.tif, 16384, 103.7402, 0, 255, 34.7591
0097.tif, 16384, 105.8615, 0, 200, 31.3997
0098.tif, 16384, 117.3337, 0, 255, 36.7673
0099.tif, 16384, 105.6028, 0, 255, 40.263
0100.tif, 16384, 110.8098, 0, 255, 32.8035
0101.tif, 16384, 152.3394, 22, 255, 55.4302
0102.tif, 16384, 112.8602, 0, 255, 25.4474
0103.tif, 16384, 113.1561, 0, 255, 26.2499
0104.tif, 16384, 109.4931, 0, 255, 30.6328
0105.tif, 16384, 106.9205, 0, 225, 33.6225
0106.tif, 16384, 108.184, 0, 208, 32.4966
0107.tif, 16384, 101.5812, 0, 177, 37.3067
0108.tif, 16384, 107.8151, 0, 255, 34.2433
0109.tif, 16384, 132.0079, 0, 255, 45.4201
0110.tif, 16384, 107.9105, 0, 252, 30.3604
0111.tif, 16384, 117.8635, 0, 255, 28.2572
0112.tif, 16384, 110.6724, 0, 255, 28.7704
0113.tif, 16384, 133.3139, 10, 255, 49.0331
0114.tif, 16384, 105.2967, 0, 255, 46.7371
0115.tif, 16384, 122.9036, 0, 255, 44.2362
0116.tif, 16384, 110.2614, 0, 246, 31.1456
0117.tif, 16384, 115.5559, 0, 186, 29.748
0118.tif, 16384, 110.7422, 0, 207, 26.2814
0119.tif, 16384, 100.6105, 0, 173, 36.6
0120.tif, 16384, 107.3481, 0, 255, 29.2369
0121.tif, 16384, 100.8452, 0, 255, 52.2597
0122.tif, 16384, 108.1511, 0, 255, 33.4293
0123.tif, 16384, 108.113, 0, 212, 30.1991
0124.tif, 16384, 131.4998, 0, 255, 44.8038
0125.tif, 16384, 102.4264, 0, 249, 35.9882
0126.tif, 16384, 107.9663, 0, 178, 30.095
0127.tif, 16384, 132.8092, 4, 255, 48.2233
0128.tif, 16384, 131.1432, 0, 255, 42.0651
0129.tif, 16384, 111.2787, 7, 255, 27.6869
0130.tif, 16384, 106.4985, 0, 193, 30.1879
0131.tif, 16384, 113.517, 0, 255, 29.4691
0132.tif, 16384, 112.8762, 0, 255, 31.9071
0133.tif, 16384, 125.6121, 4, 255, 43.163
0134.tif, 16384, 113.3288, 0, 248, 28.0457
0135.tif, 16384, 117.0371, 3, 255, 34.6519
0136.tif, 16384, 97.492, 0, 180, 47.7699
0137.tif, 16384, 134.1853, 2, 255, 50.2127
0138.tif, 16384, 108.0205, 0, 179, 35.083
0139.tif, 16384, 96.5569, 0, 181, 43.2566
0140.tif, 16384, 108.543, 0, 255, 31.6907
0141.tif, 16384, 104.4746, 0, 190, 31.5493
0142.tif, 16384, 120.3892, 0, 255, 35.7956
0143.tif, 16384, 104.5778, 4, 255, 34.2116
0144.tif, 16384, 108.5797, 0, 255, 41.3271
0145.tif, 16384, 115.3943, 0, 255, 35.4395
0146.tif, 16384, 128.2025, 0, 255, 34.3951
0147.tif, 16384, 112.6713, 0, 255, 34.3872
0148.tif, 16384, 112.063, 0, 237, 26.9293
0149.tif, 16384, 110.4154, 0, 185, 30.8878
0150.tif, 16384, 114.6699, 0, 255, 30.9365
0151.tif, 16384, 119.5611, 0, 255, 28.9115
0152.tif, 16384, 158.2867, 0, 255, 55.0542
0153.tif, 16384, 104.5555, 0, 175, 30.4698
0154.tif, 16384, 106.1394, 0, 201, 30.0036
0155.tif, 16384, 107.3733, 0, 255, 40.5535
0156.tif, 16384, 103.563, 0, 182, 29.3683
0157.tif, 16384, 109.5854, 0, 255, 30.9227
0158.tif, 16384, 116.5506, 0, 255, 40.6649
0159.tif, 16384, 125.1119, 0, 255, 47.3416
