Name, Area, Mean, Minimum, Maximum, SDev
0000.tif, 65536, 0.5783, 0, 2, 0.7979
0001.tif, 65536, 0.5803, 0, 2, 0.7967
0002.tif, 65536, 0.5986, 0, 2, 0.8037
0003.tif, 65536, 0.5912, 0, 2, 0.8017
0004.tif, 65536, 0.6003, 0, 2, 0.8058
0005.tif, 65536, 0.5894, 0, 2, 0.8014
0006.tif, 65536, 0.5944, 0, 2, 0.8026
0007.tif, 65536, 0.5834, 0, 2, 0.7961
0008.tif, 65536, 0.5799, 0, 2, 0.7981
0009.tif, 65536, 0.5827, 0, 2, 0.7988
0010.tif, 65536, 0.5869, 0, 2, 0.7979
0011.tif, 65536, 0.6094, 0, 2, 0.8068
0012.tif, 65536, 0.5863, 0, 2, 0.7962
0013.tif, 65536, 0.5857, 0, 2, 0.8011
0014.tif, 65536, 0.5873, 0, 2, 0.7934
0015.tif, 65536, 0.5947, 0, 2, 0.8006
0016.tif, 65536, 0.5931, 0, 2, 0.7993
0017.tif, 65536, 0.6001, 0, 2, 0.8028
0018.tif, 65536, 0.5878, 0, 2, 0.8027
0019.tif, 65536, 0.5838, 0, 2, 0.7964
0020.tif, 65536, 0.5865, 0, 2, 0.7967
0021.tif, 65536, 0.5934, 0, 2, 0.7985
0022.tif, 65536, 0.581, 0, 2, 0.7953
0023.tif, 65536, 0.5942, 0, 2, 0.8027
0024.tif, 65536, 0.5873, 0, 2, 0.7989
0025.tif, 65536, 0.5964, 0, 2, 0.803
0026.tif, 65536, 0.599, 0, 2, 0.7994
0027.tif, 65536, 0.5854, 0, 2, 0.7946
0028.tif, 65536, 0.5868, 0, 2, 0.7952
0029.tif, 65536, 0.5957, 0, 2, 0.7999
0030.tif, 65536, 0.5968, 0, 2, 0.7993
0031.tif, 65536, 0.612, 0, 2, 0.809
0032.tif, 65536, 0.5948, 0, 2, 0.7972
0033.tif, 65536, 0.5975, 0, 2, 0.8019
0034.tif, 65536, 0.5829, 0, 2, 0.7984
0035.tif, 65536, 0.5945, 0, 2, 0.7995
0036.tif, 65536, 0.5796, 0, 2, 0.799
0037.tif, 65536, 0.5867, 0, 2, 0.8025
0038.tif, 65536, 0.5858, 0, 2, 0.7982
0039.tif, 65536, 0.5819, 0, 2, 0.7973
0040.tif, 65536, 0.5799, 0, 2, 0.8003
0041.tif, 65536, 0.5905, 0, 2, 0.7998
0042.tif, 65536, 0.5896, 0, 2, 0.8004
0043.tif, 65536, 0.5869, 0, 2, 0.7998
0044.tif, 65536, 0.5825, 0, 2, 0.7969
0045.tif, 65536, 0.5929, 0, 2, 0.8005
0046.tif, 65536, 0.5879, 0, 2, 0.7995
0047.tif, 65536, 0.5937, 0, 2, 0.8014
0048.tif, 65536, 0.605, 0, 2, 0.8036
0049.tif, 65536, 0.5933, 0, 2, 0.802
0050.tif, 65536, 0.5857, 0, 2, 0.7982
0051.tif, 65536, 0.5886, 0, 2, 0.8019
0052.tif, 65536, 0.5672, 0, 2, 0.7914
0053.tif, 65536, 0.5908, 0, 2, 0.7956
0054.tif, 65536, 0.5926, 0, 2, 0.8007
0055.tif, 65536, 0.5806, 0, 2, 0.794
0056.tif, 65536, 0.5708, 0, 2, 0.7932
0057.tif, 65536, 0.5857, 0, 2, 0.7972
0058.tif, 65536, 0.5868, 0, 2, 0.8005
0059.tif, 65536, 0.5867, 0, 2, 0.7935
0060.tif, 65536, 0.5847, 0, 2, 0.7993
0061.tif, 65536, 0.5876, 0, 2, 0.7995
0062.tif, 65536, 0.5998, 0, 2, 0.8003
0063.tif, 65536, 0.5798, 0, 2, 0.7931
0064.tif, 65536, 0.5959, 0, 2, 0.8001
0065.tif, 65536, 0.5918, 0, 2, 0.7985
0066.tif, 65536, 0.5912, 0, 2, 0.7995
0067.tif, 65536, 0.5912, 0, 2, 0.7979
0068.tif, 65536, 0.6111, 0, 2, 0.8054
0069.tif, 65536, 0.5944, 0, 2, 0.8008
0070.tif, 65536, 0.5839, 0, 2, 0.8
0071.tif, 65536, 0.587, 0, 2, 0.7962
0072.tif, 65536, 0.6064, 0, 2, 0.8082
0073.tif, 65536, 0.5819, 0, 2, 0.7987
0074.tif, 65536, 0.5878, 0, 2, 0.7997
0075.tif, 65536, 0.586, 0, 2, 0.7965
0076.tif, 65536, 0.59, 0, 2, 0.7986
0077.tif, 65536, 0.5732, 0, 2, 0.7918
0078.tif, 65536, 0.5853, 0, 2, 0.8003
0079.tif, 65536, 0.5885, 0, 2, 0.797
0080.tif, 65536, 0.5944, 0, 2, 0.7977
0081.tif, 65536, 0.5851, 0, 2, 0.7969
0082.tif, 65536, 0.5978, 0, 2, 0.8019
0083.tif, 65536, 0.5992, 0, 2, 0.8022
0084.tif, 65536, 0.5881, 0, 2, 0.7979
0085.tif, 65536, 0.5869, 0, 2, 0.7976
0086.tif, 65536, 0.5856, 0, 2, 0.8004
0087.tif, 65536, 0.5983, 0, 2, 0.8048
0088.tif, 65536, 0.5876, 0, 2, 0.8019
0089.tif, 65536, 0.5832, 0, 2, 0.7984
0090.tif, 65536, 0.5839, 0, 2, 0.7963
0091.tif, 65536, 0.5921, 0, 2, 0.8003
0092.tif, 65536, 0.6085, 0, 2, 0.806
0093.tif, 65536, 0.6054, 0, 2, 0.8031
0094.tif, 65536, 0.5845, 0, 2, 0.7959
0095.tif, 65536, 0.5926, 0, 2, 0.802
0096.tif, 65536, 0.5856, 0, 2, 0.8002
0097.tif, 65536, 0.5833, 0, 2, 0.7993
0098.tif, 65536, 0.5862, 0, 2, 0.7983
0099.tif, 65536, 0.596, 0, 2, 0.8032
