Name, Area, Mean, Minimum, Maximum, SDev
0000.tif, 65536, 111.1286, 0, 255, 25.7052
0001.tif, 65536, 110.9678, 0, 241, 25.0132
0002.tif, 65536, 111.6055, 0, 247, 25.9886
0003.tif, 65536, 111.9472, 2, 255, 25.986
0004.tif, 65536, 111.5941, 5, 248, 25.7269
0005.tif, 65536, 110.8209, 0, 255, 25.1154
0006.tif, 65536, 112.3613, 0, 251, 26.9461
0007.tif, 65536, 112.213, 0, 255, 26.534
0008.tif, 65536, 111.5339, 11, 255, 25.459
0009.tif, 65536, 111.6793, 0, 255, 25.6048
0010.tif, 65536, 111.8182, 5, 242, 26.1844
0011.tif, 65536, 111.8293, 0, 255, 25.865
0012.tif, 65536, 111.7032, 0, 255, 26.208
0013.tif, 65536, 112.082, 8, 255, 25.7483
0014.tif, 65536, 111.3123, 0, 255, 25.6596
0015.tif, 65536, 111.9781, 0, 255, 25.3698
0016.tif, 65536, 112.0708, 0, 255, 26.2462
0017.tif, 65536, 112.6155, 0, 255, 26.8856
0018.tif, 65536, 111.5368, 0, 253, 25.671
0019.tif, 65536, 112.8938, 10, 255, 26.7734
0020.tif, 65536, 111.834, 0, 238, 26.3935
0021.tif, 65536, 112.0474, 0, 255, 25.641
0022.tif, 65536, 111.101, 0, 252, 25.5698
0023.tif, 65536, 111.237, 0, 243, 25.1545
0024.tif, 65536, 111.0995, 0, 255, 24.8792
0025.tif, 65536, 111.7556, 5, 255, 25.3914
0026.tif, 65536, 112.0786, 0, 255, 26.3972
0027.tif, 65536, 111.9562, 0, 255, 25.7355
0028.tif, 65536, 111.5809, 9, 255, 25.0864
0029.tif, 65536, 111.5909, 9, 252, 25.049
0030.tif, 65536, 112.3571, 2, 255, 26.5621
0031.tif, 65536, 112.6419, 0, 255, 26.5513
0032.tif, 65536, 112.0419, 1, 248, 26.1858
0033.tif, 65536, 111.2457, 0, 253, 25.1222
0034.tif, 65536, 111.8329, 0, 255, 26.7371
0035.tif, 65536, 112.3398, 0, 255, 26.2109
0036.tif, 65536, 111.6704, 0, 251, 26.1274
0037.tif, 65536, 112.4511, 0, 247, 26.7304
0038.tif, 65536, 111.8193, 1, 255, 26.2053
0039.tif, 65536, 111.3876, 5, 255, 25.9142
0040.tif, 65536, 111.7293, 0, 255, 26.0403
0041.tif, 65536, 112.6797, 0, 255, 26.3786
0042.tif, 65536, 111.6101, 13, 255, 25.993
0043.tif, 65536, 112.1738, 17, 255, 25.698
0044.tif, 65536, 112.3248, 15, 255, 26.4634
0045.tif, 65536, 111.9803, 0, 255, 25.7828
0046.tif, 65536, 111.9036, 15, 255, 25.6478
0047.tif, 65536, 111.8225, 4, 255, 25.8432
0048.tif, 65536, 112.8748, 0, 255, 27.1069
0049.tif, 65536, 111.8871, 6, 255, 25.9999
0050.tif, 65536, 111.1451, 0, 255, 24.9758
0051.tif, 65536, 111.972, 0, 255, 25.8996
0052.tif, 65536, 110.7912, 0, 255, 25.8841
0053.tif, 65536, 112.4291, 0, 255, 26.7529
0054.tif, 65536, 111.6355, 0, 255, 25.8005
0055.tif, 65536, 112.0351, 0, 255, 26.233
0056.tif, 65536, 111.6734, 0, 255, 25.696
0057.tif, 65536, 112.4072, 3, 255, 26.462
0058.tif, 65536, 111.644, 0, 255, 25.8512
0059.tif, 65536, 111.8989, 11, 255, 26.2049
0060.tif, 65536, 111.5767, 0, 255, 25.6951
0061.tif, 65536, 111.3064, 0, 255, 24.9807
0062.tif, 65536, 111.5596, 0, 255, 25.6626
0063.tif, 65536, 110.9899, 0, 255, 25.2824
0064.tif, 65536, 112.2351, 0, 239, 25.638
0065.tif, 65536, 111.9185, 0, 255, 25.6027
0066.tif, 65536, 111.0502, 13, 239, 25.1237
0067.tif, 65536, 112.57, 2, 255, 26.9721
0068.tif, 65536, 112.8177, 0, 250, 27.2358
0069.tif, 65536, 110.858, 0, 255, 25.076
0070.tif, 65536, 111.8378, 0, 255, 25.75
0071.tif, 65536, 112.117, 0, 255, 26.5708
0072.tif, 65536, 112.3289, 0, 255, 26.5851
0073.tif, 65536, 110.1136, 0, 254, 23.8226
0074.tif, 65536, 111.9339, 0, 255, 25.8113
0075.tif, 65536, 111.6374, 0, 255, 25.864
0076.tif, 65536, 111.6557, 0, 255, 26.1723
0077.tif, 65536, 111.1954, 0, 255, 25.3664
0078.tif, 65536, 111.3796, 0, 248, 25.6618
0079.tif, 65536, 111.7417, 1, 255, 26.3283
0080.tif, 65536, 112.5739, 0, 255, 26.6573
0081.tif, 65536, 112.5496, 10, 255, 26.9703
0082.tif, 65536, 112.2072, 0, 240, 26.3133
0083.tif, 65536, 111.5458, 0, 255, 25.3352
0084.tif, 65536, 111.2621, 0, 242, 24.9455
0085.tif, 65536, 111.5104, 0, 246, 25.7155
0086.tif, 65536, 111.059, 0, 255, 25.5549
0087.tif, 65536, 111.1088, 0, 231, 25.1047
0088.tif, 65536, 111.5573, 12, 255, 25.5311
0089.tif, 65536, 110.5209, 0, 255, 25.0303
0090.tif, 65536, 111.4172, 0, 248, 25.2762
0091.tif, 65536, 111.2446, 2, 255, 25.0849
0092.tif, 65536, 112.2734, 1, 255, 26.5281
0093.tif, 65536, 111.9982, 0, 244, 26.077
0094.tif, 65536, 111.1269, 7, 255, 24.8829
0095.tif, 65536, 111.0669, 0, 254, 25.5403
0096.tif, 65536, 111.1224, 0, 255, 24.9214
0097.tif, 65536, 111.9412, 0, 238, 26.3838
0098.tif, 65536, 111.2126, 0, 252, 25.1048
0099.tif, 65536, 110.7761, 0, 230, 24.5491
